278,2011-12-03,Myeong-su is 12 Years Old #1,
279,2011-12-10,Myeong-su is 12 Years Old #2,
280,2011-12-17,Haha VS Hong-chul #1,
280,2011-12-17,Infinite Delivery #1,
281,2011-12-24,Infinite Delivery #2,
281,2011-12-24,I'm A Singer In My Own Right #1,
282,2011-12-31,I'm A Singer In My Own Right #2,
283,2012-01-07,I'm A Singer In My Own Right #3,"Jung Jae-hyung, Sweet Sorrow, Gaeko, Choiza, Bada, Norazo, Gary, Jung-in, Skull, Kim Sook, Song Eun-"
284,2012-01-14,Infinite Company End of Year Ceremony,
285,2012-01-21,Infinite Company 2012,
285,2012-01-21,Haha VS Hong-chul #2,
286,2012-01-28,Haha VS Hong-chul #3,
288,2012-07-28,Haha VS Hong-chul #4,
288,2012-07-28,Lee Na-young Special #1,Lee Na-young
289,2012-08-04,Lee Na-young Special #2,Lee Na-young
290,2012-08-11,Lee Na-young Special #3,Lee Na-young
290,2012-08-11,Do As You Say #1,
291,2012-08-18,Do As You Say #2,
292,2012-08-25,2012 Infinite News,
292,2012-08-25,You go to Hawaii #1,
293,2012-09-01,You go to Hawaii #2,
294,2012-09-08,You go to Hawaii #3,
294,2012-09-08,As Promised #1,
295,2012-09-15,As Promised #2,
296,2012-09-22,As Promised #3 with Son Yeon-jae,Son Yeon-jae
297,2012-09-29,Infinite Company with G-Dragon #1,G-Dragon
298,2012-10-06,Infinite Company with G-Dragon #2,G-Dragon
299,2012-10-13,Mr. Sun and Miss Moon,
300,2012-10-20,300th Episode Pause Special #1,
301,2012-10-27,300th Episode Pause Special #2,
302,2012-11-03,The Temptations of Ahjummas,
303,2012-11-10,Joint Security Area,
304,2012-11-17,Introducing My Ugly Friends Festival #1,"Kim Bum-soo, Kim Young-chul, Kim Je-dong, Kim C, Jo Jung-chi, Yoon Jong-shin, Lee Juck, Defconn, Ko "
305,2012-11-24,Introducing My Ugly Friends Festival #2,"Kim Bum-soo, Kim Young-chul, Kim Je-dong, Kim C, Jo Jung-chi, Yoon Jong-shin, Lee Juck, Defconn, Ko "
306,2012-12-01,Introducing My Ugly Friends Festival #3,"Kim Bum-soo, Kim Young-chul, Kim Je-dong, Kim C, Jo Jung-chi, Yoon Jong-shin, Lee Juck, Defconn, Ko "
307,2012-12-08,The Wedding Bus,Haha's Wedding
308,2012-12-15,Infinite Express #1,
309,2012-12-22,Infinite Express #2,
310,2012-12-29,Infinite Express #3,
310,2012-12-29,How About This???,
311,2013-01-05,Park Myeong-su's How About This? Showcase,
312,2013-01-12,New York Style #1,
313,2013-01-19,New York Style #2,
313,2013-01-19,100-Minute Debate,
314,2013-01-26,Vampire Hunting #1,Kim Bu-seon
315,2013-02-02,Vampire Hunting #2,
315,2013-02-02,2013 Lunar New Year Special,
316,2013-02-09,Baseball Race Game,
317,2013-02-16,Face Off #1,
318,2013-02-23,Face Off #2,
319,2013-03-02,Me 2012 VS Me 2013,
320,2013-03-09,Infinite TAXI,
321,2013-03-16,No StressTH!,
322,2013-03-23,Hawaii Special - Waikiki Brothers #1,
323,2013-03-30,Hawaii Special - Waikiki Brothers #2,
324,2013-04-06,Hawaii Special - Waikiki Brothers #3,
324,2013-04-06,Hide and Seek Special #1,
325,2013-04-13,Hide and Seek Special #2,
